lookback_hours,observed_episodes,observed_fraction,missing_fraction
4,7830,0.41702172986791647,0.5829782701320836
8,10974,0.5844695355773327,0.4155304644226673
12,13189,0.7024392841925863,0.2975607158074137
24,17352,0.9241585002130379,0.07584149978696209
48,18039,0.9607477631018321,0.039252236898167925
168,18189,0.9687366851299531,0.031263314870046854
any_prior,18194,0.9690029825308905,0.030997017469109545
any_during_stay,18693,0.9955794631444397,0.00442053685556032
