metric,observed,null_mean,null_sd,null_q025,null_q975,z_score,empirical_percentile,empirical_p_lower,empirical_p_upper,empirical_p_two_sided,n_valid
connected_components,1.0,1.006,0.0772655807586403,1.0,1.0,-0.0776542406216114,49.7,0.994005994005994,1.0,1.0,1000
largest_component_nodes,34.0,33.988,0.1545311615172806,34.0,34.0,0.0776542406216142,50.3,1.0,0.994005994005994,1.0,1000
largest_component_fraction,1.0,0.9996470588235294,0.0045450341622729,1.0,1.0,0.0776542406216042,50.3,1.0,0.994005994005994,1.0,1000
transitivity,0.3862111043319097,0.4270048810250152,0.014331329358665,0.3990237949969493,0.4557657107992678,-2.8464754156557484,0.45,0.0059940059940059,0.996003996003996,0.0119880119880119,1000
average_clustering,0.4904839974728646,0.536597343328111,0.0229506935687758,0.487571162334815,0.5772780663350657,-2.0092353948720305,3.3,0.0339660339660339,0.967032967032967,0.0679320679320679,1000
degree_assortativity,-0.4079601380556165,-0.3392329649548556,0.0302516612455968,-0.4001202529460445,-0.2815444443083241,-2.2718479009401182,1.5,0.0159840159840159,0.985014985014985,0.0319680319680319,1000
average_shortest_path_lcc,1.8199643493761144,1.864000143752516,0.0248835244122779,1.8253119429590017,1.9180035650623888,-1.76967674059361,1.15,0.0149850149850149,0.991008991008991,0.0299700299700299,1000
diameter_lcc,3.0,3.525,0.5173419011085827,3.0,4.0,-1.014802781052544,24.2,0.4845154845154845,1.0,0.9690309690309692,1000
global_efficiency,0.6137849079025557,0.6063209447415339,0.005225691900546,0.5985427807486636,0.6125965537730252,1.428320556028556,99.5,0.997002997002997,0.0079920079920079,0.0159840159840159,1000
bridges,3.0,2.996,0.0893979417659713,3.0,3.0,0.0447437594309646,50.2,0.998001998001998,0.994005994005994,1.0,1000
articulation_points,2.0,2.67,0.5092733640780356,2.0,3.0,-1.3155999258137845,16.5,0.3116883116883117,0.981018981018981,0.6233766233766234,1000
communities,5.0,4.212,0.6414572998005927,3.0,5.0,1.2284527750248733,84.0,0.986013986013986,0.3066933066933067,0.6133866133866134,1000
modularity,0.1564056133997284,0.163853075801016,0.0111177731280564,0.1426663648709823,0.1867448820481866,-0.6698699744549954,25.4,0.2557442557442557,0.7472527472527473,0.5114885114885115,1000
