scenario,category,removed_sro_relations,removed_relation_fraction,remaining_nodes,remaining_edges_simple,connected_components,isolates,largest_component_nodes,largest_component_fraction,global_efficiency,evidence_weight_retained_fraction
remove_single_source_relations,support,42,0.1866666666666666,34,108,1,0,34,1.0,0.5775401069518723,0.956866292100758
remove_primary_guideline_relations,guideline,6,0.0266666666666666,34,137,2,1,33,0.9705882352941176,0.5814022578728465,0.9829746544904804
remove_primary_layer_E1,evidence_layer,99,0.44,34,96,3,2,32,0.9411764705882352,0.4854426619132496,0.2529256529470688
remove_primary_layer_E2,evidence_layer,113,0.5022222222222222,34,67,3,2,32,0.9411764705882352,0.4520202020201992,0.7675702207842292
remove_primary_layer_E3,evidence_layer,7,0.0311111111111111,34,136,1,0,34,1.0,0.608437314319668,0.996529471778222
remove_primary_layer_N2,evidence_layer,6,0.0266666666666666,34,137,2,1,33,0.9705882352941176,0.5814022578728465,0.9829746544904804
remove_replication_1 source,replication_family,42,0.1866666666666666,34,108,1,0,34,1.0,0.5775401069518723,0.956866292100758
remove_replication_2-4 sources,replication_family,60,0.2666666666666666,34,105,2,1,33,0.9705882352941176,0.5418894830659542,0.8776611072848639
remove_replication_>=5 sources,replication_family,123,0.5466666666666666,34,86,3,2,32,0.9411764705882352,0.4627450980392147,0.1654726006143785
