source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,semantic_auroc,semantic_average_precision,delta_auroc_vs_semantic
eICU,MIMIC-IV,state_logistic,next_aki_progression,29267,0.14128540677213244,0.6254152199722828,0.18646002733084927,0.11877625512984734,0.026164150431932435,-0.38889922347314276,0.8297994058789344,0.07467164210975172,0.98863361547763,0.17487665128123508,0.16467270896273917,0.9894191805493021,0.524391363540049,0.1486485824876579,0.10102385643223377
eICU,MIMIC-IV,state_logistic,next_aki_stage2_onset,25005,0.16400719856028795,0.5565728977082961,0.18711658726037186,0.1372260656521264,0.023271119051684244,-0.7514713892991456,0.5747825388210264,0.16586046457290649,0.6832479882955377,0.39107347876004595,0.1804133668147576,0.8628879037365421,,,
eICU,MIMIC-IV,state_logistic,next_aki_stage3_onset,28114,0.0058689620829479976,0.7912178784517687,0.06253491041439205,0.005697461888459675,0.0010175638025195033,1.0114588611788984,1.2536262432088763,0.007720523159950973,0.6545454545454545,0.78467923718201,0.01762977473065622,0.9974076769146807,,,
eICU,MIMIC-IV,state_logistic,hospital_death,29267,0.12157036935797998,0.7120166348790133,0.32205224410828176,0.09880583094175044,0.031534301013992426,-0.5361014360187843,0.7216844809774381,0.09702739328145982,0.6728499156829679,0.6437045392664048,0.20720096936126017,0.9342855529836843,0.6535770724927945,0.2269713714508466,0.058439562386218835
eICU,MIMIC-IV,state_logistic,icu_death,29262,0.0815733716082291,0.7463676698395377,0.30199642406193156,0.06785781885228082,0.020568553933653654,-0.5137857613282034,0.7697060756443191,0.06693277791142464,0.6811897779639715,0.698939534883721,0.16733559740660697,0.9610642107955999,0.6619988113911595,0.1740991633698546,0.08436885844837827
eICU,MIMIC-IV,state_xgboost,next_aki_progression,29267,0.14128540677213244,0.6400397389089117,0.19859446821357962,0.11818142538449526,0.02419277608640158,-0.38603235444304124,0.8329943019370872,0.0895724717527628,0.9281741233373639,0.2607830654146109,0.17121698786581013,0.9566486644285506,0.524391363540049,0.1486485824876579,0.11564837536886274
eICU,MIMIC-IV,state_xgboost,next_aki_stage2_onset,25005,0.16400719856028795,0.5742961075738483,0.19896486545947534,0.13654684287933147,0.020918251401220556,-0.6101719951145591,0.669521103831123,0.15891665160655974,0.7481102170202389,0.3553865288939916,0.18545608414435108,0.8779248404632475,,,
eICU,MIMIC-IV,state_xgboost,next_aki_stage3_onset,28114,0.0058689620829479976,0.7023031127042004,0.024502453910722134,0.005798860133572974,0.0019900510609850894,0.6687239537353459,1.2110926089669196,0.013698417060077208,0.3878787878787879,0.8899066156213102,0.02037567653613499,0.9959556320826493,,,
eICU,MIMIC-IV,state_xgboost,hospital_death,29267,0.12157036935797998,0.7414845066975341,0.34678116873575304,0.095550976831481,0.022815689593403344,-0.3438472175509535,0.8010333021688573,0.11841906279325486,0.6318156267566049,0.7144190750320899,0.23441084462982273,0.9334248106926869,0.6535770724927945,0.2269713714508466,0.08790743420473957
eICU,MIMIC-IV,state_xgboost,icu_death,29262,0.0815733716082291,0.7772051480402569,0.323345568786148,0.06580052850069874,0.01515309785041857,-0.2661985629424939,0.8524109435206296,0.0832773894071579,0.6380393799748638,0.7601860465116279,0.19113955823293172,0.959425190194421,0.6619988113911595,0.1740991633698546,0.11520633664909741
