source_database,target_database,model,endpoint,cluster_unit,n_clusters,bootstrap_reps,auroc_lo,auroc_hi
MIMIC-IV,eICU,kdigo_lookup,next_aki_stage3_onset,patient,17491,1000,0.3317648024261922,0.41015673323319574
MIMIC-IV,eICU,kdigo_lookup,hospital_death,patient,17491,1000,0.5288258511933468,0.547727436440917
MIMIC-IV,eICU,kdigo_lookup,icu_death,patient,17491,1000,0.5336945622097292,0.5559941358767678
MIMIC-IV,eICU,state_logistic,next_aki_progression,patient,17491,1000,0.7140552695415793,0.7333774879106961
MIMIC-IV,eICU,state_logistic,next_aki_stage2_onset,patient,17491,1000,0.5719042738014224,0.6010170410715707
MIMIC-IV,eICU,state_logistic,next_aki_stage3_onset,patient,17491,1000,0.6277254833848891,0.7215509768935964
MIMIC-IV,eICU,state_logistic,hospital_death,patient,17491,1000,0.7216328751727561,0.7450546402641857
MIMIC-IV,eICU,state_logistic,icu_death,patient,17491,1000,0.754962328030938,0.7830604612672398
MIMIC-IV,eICU,state_xgboost,next_aki_progression,patient,17491,1000,0.7283600100803724,0.7473672920558383
MIMIC-IV,eICU,state_xgboost,next_aki_stage2_onset,patient,17491,1000,0.6007593335966284,0.6278445725469108
MIMIC-IV,eICU,state_xgboost,next_aki_stage3_onset,patient,17491,1000,0.5653582995720692,0.6590865348983211
MIMIC-IV,eICU,state_xgboost,hospital_death,patient,17491,1000,0.7665004290492724,0.7860434777746937
MIMIC-IV,eICU,state_xgboost,icu_death,patient,17491,1000,0.792894889010555,0.8169600830096218
eICU,MIMIC-III,kdigo_lookup,next_aki_progression,patient,17355,1000,0.5613096130501459,0.5673980025699971
eICU,MIMIC-III,kdigo_lookup,next_aki_stage2_onset,patient,17355,1000,0.5,0.5
eICU,MIMIC-III,kdigo_lookup,next_aki_stage3_onset,patient,17355,1000,0.406360755485774,0.4824862834024115
eICU,MIMIC-III,kdigo_lookup,hospital_death,patient,17355,1000,0.5040049394365442,0.5164521173337311
eICU,MIMIC-III,kdigo_lookup,icu_death,patient,17355,1000,0.5026157875950469,0.5164188319018214
eICU,MIMIC-III,state_logistic,next_aki_progression,patient,17355,1000,0.6005949368504772,0.618604316311201
eICU,MIMIC-III,state_logistic,next_aki_stage2_onset,patient,17355,1000,0.5452353368788156,0.5656034018256897
eICU,MIMIC-III,state_logistic,next_aki_stage3_onset,patient,17355,1000,0.6743705509366383,0.7882667638053181
eICU,MIMIC-III,state_logistic,hospital_death,patient,17355,1000,0.6723726180491866,0.6957915504348813
eICU,MIMIC-III,state_logistic,icu_death,patient,17355,1000,0.6952684059311636,0.7222858696160499
eICU,MIMIC-III,state_xgboost,next_aki_progression,patient,17355,1000,0.6169630576347774,0.6357124326906346
eICU,MIMIC-III,state_xgboost,next_aki_stage2_onset,patient,17355,1000,0.5634791245237452,0.5843581062499987
eICU,MIMIC-III,state_xgboost,next_aki_stage3_onset,patient,17355,1000,0.6560144165042158,0.7661003695328754
eICU,MIMIC-III,state_xgboost,hospital_death,patient,17355,1000,0.7060436299439573,0.7282256870544949
eICU,MIMIC-III,state_xgboost,icu_death,patient,17355,1000,0.73226788325059,0.755706389840695
eICU,MIMIC-IV,kdigo_lookup,next_aki_progression,patient,25122,1000,0.5774838994307125,0.5829421708183126
