source_database,target_database,model,endpoint,bin_mean_prediction,bin_event_rate,n
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.18279389511675487,0.16194055346771438,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.19765684831065017,0.1695146958304853,2926
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.21198291030043376,0.18557758031442242,2926
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.2287989293944522,0.20806286299965834,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.2605023994751664,0.2316364878715408,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.10391997215879864,0.08676529388244703,2501
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.135119279640913,0.1192,2500
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.1575326560581269,0.1323470611755298,2501
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.17282801167964934,0.1488,2500
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.1843094742152749,0.15913634546181527,2501
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.19383351197838783,0.1712,2500
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.20294833149909974,0.1752,2500
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.21238296021704003,0.19392243102758897,2501
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.22362057631611823,0.2208,2500
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,0.24678914011215888,0.23270691723310677,2501
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.0009593213246396714,0.0,2812
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.0010330325529431213,0.000711490572749911,2811
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.0011696563328757793,0.005336179295624333,2811
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.0013559929315536648,0.0035561877667140826,2812
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.0015553930576039895,0.0032017075773745998,2811
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.0018055568440419388,0.004268943436499467,2811
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.0021775113874092527,0.004978662873399715,2812
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.0027951534240457225,0.007470651013874066,2811
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.0040786338332949035,0.005691924581999288,2811
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,0.010750299672017226,0.023470839260312945,2812
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.025815340286221955,0.019132217287324907,2927
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.04035650018181335,0.03518961393918688,2927
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.050366027331615014,0.041695146958304855,2926
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.0627495553669035,0.05637171165015374,2927
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.07750303022815459,0.08028698325930987,2927
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.09622457021273169,0.08509911141490088,2926
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.12265339036585733,0.11240177656303382,2927
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.16451875638326227,0.14524948735475052,2926
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.24617455897169957,0.21421250427058422,2927
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,0.4728475035580914,0.4260334813802528,2927
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.016266387878071744,0.005466347796378545,2927
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.02383612180275108,0.018113465481886533,2926
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.029047130498568028,0.02152374444824052,2927
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.03609736673724957,0.0252991452991453,2925
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,0.045334760961584335,0.04032809295967191,2926
