evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,direction,endpoint_label
external,MIMIC-III,MIMIC-IV,demographic,next_aki_progression,29267,0.1412854067721324,0.5173001136827058,0.1479702033962898,0.1230369731783866,0.0302320898992581,M-III → M-IV,AKI progression
external,MIMIC-III,MIMIC-IV,demographic,next_aki_stage2plus,29267,0.2857484538900468,0.5232048248076114,0.2987056399378205,0.2040290832519531,0.0136030675626271,M-III → M-IV,AKI stage 2+
external,MIMIC-III,MIMIC-IV,demographic,next_aki_stage3,29267,0.0450336556531246,0.5627916955395289,0.0532937666105933,0.0444254763424396,0.0284102510430625,M-III → M-IV,AKI stage 3
external,MIMIC-III,MIMIC-IV,demographic,hospital_death,29267,0.1215703693579799,0.5554432833465734,0.1494596932111572,0.1081540957093238,0.0343541396933209,M-III → M-IV,Hospital death
external,MIMIC-III,MIMIC-IV,demographic,icu_death,29262,0.0815733716082291,0.5133770481581434,0.0815450966888902,0.0765759199857711,0.0309096510548738,M-III → M-IV,ICU death
external,MIMIC-III,MIMIC-IV,xgboost,next_aki_progression,29267,0.1412854067721324,0.5530908917000462,0.1651690127619056,0.2349005672388151,0.3320743632912875,M-III → M-IV,AKI progression
external,MIMIC-III,MIMIC-IV,xgboost,next_aki_stage2plus,29267,0.2857484538900468,0.5648785444369137,0.3482905530483582,0.2357989446922291,0.1879210699231647,M-III → M-IV,AKI stage 2+
external,MIMIC-III,MIMIC-IV,xgboost,next_aki_stage3,29267,0.0450336556531246,0.6781804393228485,0.2551460119751958,0.1765955482426302,0.3439958524303868,M-III → M-IV,AKI stage 3
external,MIMIC-III,MIMIC-IV,xgboost,hospital_death,29267,0.1215703693579799,0.6591921405729465,0.2461198473723843,0.226977383689418,0.3457818696368336,M-III → M-IV,Hospital death
external,MIMIC-III,MIMIC-IV,xgboost,icu_death,29262,0.0815733716082291,0.654674837540554,0.1831581989838186,0.2212270557204762,0.3752457004771993,M-III → M-IV,ICU death
external,MIMIC-III,MIMIC-IV,random_transformer,next_aki_progression,29267,0.1412854067721324,0.5267230281670218,0.1533920851542202,0.1266411393880844,0.0494070216169705,M-III → M-IV,AKI progression
external,MIMIC-III,MIMIC-IV,random_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.5537458747890804,0.3394489957729931,0.2117130607366562,0.0732245973072416,M-III → M-IV,AKI stage 2+
external,MIMIC-III,MIMIC-IV,random_transformer,next_aki_stage3,29267,0.0450336556531246,0.6849872092518831,0.2160699247546404,0.0473091341555118,0.0256395345011452,M-III → M-IV,AKI stage 3
external,MIMIC-III,MIMIC-IV,random_transformer,hospital_death,29267,0.1215703693579799,0.6145934026030215,0.2091754975702646,0.1197293698787689,0.0799778246480815,M-III → M-IV,Hospital death
external,MIMIC-III,MIMIC-IV,random_transformer,icu_death,29262,0.0815733716082291,0.605489284009314,0.1476789417227319,0.0847781896591186,0.053119813907907,M-III → M-IV,ICU death
external,MIMIC-III,MIMIC-IV,semantic_transformer,next_aki_progression,29267,0.1412854067721324,0.5261352826122812,0.1532241877051416,0.121867723762989,0.0165075939155665,M-III → M-IV,AKI progression
external,MIMIC-III,MIMIC-IV,semantic_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.5590423494197625,0.3525404125452969,0.2010182589292526,0.0330398467143094,M-III → M-IV,AKI stage 2+
