lookback_hours,observed_episodes,observed_fraction,missing_fraction
4,7830,0.4170217298679164,0.5829782701320836
8,10974,0.5844695355773327,0.4155304644226673
12,13189,0.7024392841925863,0.2975607158074137
24,17352,0.924158500213038,0.075841499786962
48,18039,0.960747763101832,0.0392522368981679
168,18189,0.9687366851299531,0.0312633148700468
any_prior,18194,0.9690029825308905,0.0309970174691095
any_during_stay,18693,0.9955794631444396,0.0044205368555603
