evaluation,cluster_unit,source_database,target_database,endpoint,model,n_clusters,auroc_lo,auroc_hi
external,patient,MIMIC-IV,MIMIC-III,next_aki_stage3,random_transformer,17355,0.6553650847608904,0.7045744894401307
external,patient,MIMIC-IV,MIMIC-III,next_aki_stage3,semantic_transformer,17355,0.6489912349395491,0.6988253746282622
external,patient,MIMIC-IV,MIMIC-III,hospital_death,demographic,17355,0.609372813255327,0.6304557855911264
external,patient,MIMIC-IV,MIMIC-III,hospital_death,xgboost,17355,0.6364297203300808,0.6582417590614998
external,patient,MIMIC-IV,MIMIC-III,hospital_death,random_transformer,17355,0.6300422394975099,0.6518697047444347
external,patient,MIMIC-IV,MIMIC-III,hospital_death,semantic_transformer,17355,0.6412149109395893,0.6612239640969567
external,patient,MIMIC-IV,MIMIC-III,icu_death,demographic,17355,0.5261569732898537,0.5509100524210269
external,patient,MIMIC-IV,MIMIC-III,icu_death,xgboost,17355,0.6204025252895465,0.6466438665523697
external,patient,MIMIC-IV,MIMIC-III,icu_death,random_transformer,17355,0.6168001027055463,0.6417756916878655
external,patient,MIMIC-IV,MIMIC-III,icu_death,semantic_transformer,17355,0.6229938054655888,0.648356436986746
external,patient,MIMIC-IV,eICU,next_aki_progression,demographic,17491,0.48825123457586156,0.5168986286118726
external,patient,MIMIC-IV,eICU,next_aki_progression,xgboost,17491,0.5152934948123856,0.5417545975389393
external,patient,MIMIC-IV,eICU,next_aki_progression,random_transformer,17491,0.5150078472983028,0.5425242363981224
external,patient,MIMIC-IV,eICU,next_aki_progression,semantic_transformer,17491,0.49856481143187154,0.5241256918449376
external,patient,MIMIC-IV,eICU,next_aki_stage2plus,demographic,17491,0.5123496765374929,0.5288017947798237
external,patient,MIMIC-IV,eICU,next_aki_stage2plus,xgboost,17491,0.511710909005458,0.5283031877783448
external,patient,MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,17491,0.5148272911719168,0.5307845080491256
external,patient,MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,17491,0.4996578567914259,0.5164789725657497
external,patient,MIMIC-IV,eICU,next_aki_stage3,demographic,17491,0.5122309008721428,0.5377512727090167
external,patient,MIMIC-IV,eICU,next_aki_stage3,xgboost,17491,0.5400614897270269,0.561109562702742
external,patient,MIMIC-IV,eICU,next_aki_stage3,random_transformer,17491,0.5424128057109416,0.5636348698888944
external,patient,MIMIC-IV,eICU,next_aki_stage3,semantic_transformer,17491,0.5123777535561393,0.5394066013216601
external,patient,MIMIC-IV,eICU,hospital_death,demographic,17491,0.5731098509884553,0.5977886529436659
external,patient,MIMIC-IV,eICU,hospital_death,xgboost,17491,0.5740967535273434,0.5992192818610148
external,patient,MIMIC-IV,eICU,hospital_death,random_transformer,17491,0.575656855527786,0.6007673660120462
external,patient,MIMIC-IV,eICU,hospital_death,semantic_transformer,17491,0.6468414013152798,0.6719309321087057
external,patient,MIMIC-IV,eICU,icu_death,demographic,17491,0.5087183870507899,0.5368768587071836
external,patient,MIMIC-IV,eICU,icu_death,xgboost,17491,0.5450175718522765,0.5744179671005034
external,patient,MIMIC-IV,eICU,icu_death,random_transformer,17491,0.5461387214687538,0.5735873867972698
external,patient,MIMIC-IV,eICU,icu_death,semantic_transformer,17491,0.6487477602131552,0.6762735822886323
external,patient,eICU,MIMIC-III,next_aki_progression,demographic,17355,0.48527317740053966,0.5062118458594171
external,patient,eICU,MIMIC-III,next_aki_progression,xgboost,17355,0.5106726640260723,0.5303239685588834
external,patient,eICU,MIMIC-III,next_aki_progression,random_transformer,17355,0.5136298585044052,0.5322611008341824
external,patient,eICU,MIMIC-III,next_aki_progression,semantic_transformer,17355,0.5094866628358389,0.5285536565728702
external,patient,eICU,MIMIC-III,next_aki_stage2plus,demographic,17355,0.5233888151625835,0.5415789411873816
external,patient,eICU,MIMIC-III,next_aki_stage2plus,xgboost,17355,0.5209742702054879,0.5378008423325489
external,patient,eICU,MIMIC-III,next_aki_stage2plus,random_transformer,17355,0.5156146891011404,0.532589540581923
external,patient,eICU,MIMIC-III,next_aki_stage2plus,semantic_transformer,17355,0.5110060270446444,0.5293637989160583
external,patient,eICU,MIMIC-III,next_aki_stage3,demographic,17355,0.5677269438494844,0.6137390949733139
external,patient,eICU,MIMIC-III,next_aki_stage3,xgboost,17355,0.5894346618837527,0.632386731671742
external,patient,eICU,MIMIC-III,next_aki_stage3,random_transformer,17355,0.5712768608855464,0.6185517827500567
external,patient,eICU,MIMIC-III,next_aki_stage3,semantic_transformer,17355,0.5975495053556296,0.6435022754196918
external,patient,eICU,MIMIC-III,hospital_death,demographic,17355,0.5299470589819341,0.5515370492950643
external,patient,eICU,MIMIC-III,hospital_death,xgboost,17355,0.6097670157134183,0.6346707627065593
external,patient,eICU,MIMIC-III,hospital_death,random_transformer,17355,0.6015148199963284,0.6268785351484761
external,patient,eICU,MIMIC-III,hospital_death,semantic_transformer,17355,0.6282845301792419,0.6529847265432268
external,patient,eICU,MIMIC-III,icu_death,demographic,17355,0.47350818908677467,0.5005635587954733
external,patient,eICU,MIMIC-III,icu_death,xgboost,17355,0.5848998207624492,0.6119351785462178
external,patient,eICU,MIMIC-III,icu_death,random_transformer,17355,0.5863094651104546,0.6118272587209985
external,patient,eICU,MIMIC-III,icu_death,semantic_transformer,17355,0.6062269707335757,0.633558932816316
external,patient,eICU,MIMIC-IV,next_aki_progression,demographic,25122,0.5048923528546776,0.5234094509876074
external,patient,eICU,MIMIC-IV,next_aki_progression,xgboost,25122,0.5146722806133432,0.5339492453088107
external,patient,eICU,MIMIC-IV,next_aki_progression,random_transformer,25122,0.49224802848724203,0.5102776356776275
external,patient,eICU,MIMIC-IV,next_aki_progression,semantic_transformer,25122,0.5159390109962831,0.5334808189159137
external,patient,eICU,MIMIC-IV,next_aki_stage2plus,demographic,25122,0.5140389949792457,0.5286443858939696
external,patient,eICU,MIMIC-IV,next_aki_stage2plus,xgboost,25122,0.5108466882860466,0.5231884705503633
external,patient,eICU,MIMIC-IV,next_aki_stage2plus,random_transformer,25122,0.50796955595428,0.5231624390074882
external,patient,eICU,MIMIC-IV,next_aki_stage2plus,semantic_transformer,25122,0.49231294761915356,0.5053480573782206
external,patient,eICU,MIMIC-IV,next_aki_stage3,demographic,25122,0.5509487633738622,0.5886147542821122
external,patient,eICU,MIMIC-IV,next_aki_stage3,xgboost,25122,0.5691777976077513,0.6080824839784329
external,patient,eICU,MIMIC-IV,next_aki_stage3,random_transformer,25122,0.5181032468780684,0.554060889747376
external,patient,eICU,MIMIC-IV,next_aki_stage3,semantic_transformer,25122,0.6586331776709169,0.697320651998929
external,patient,eICU,MIMIC-IV,hospital_death,demographic,25122,0.5682577152873513,0.5889745834836992
external,patient,eICU,MIMIC-IV,hospital_death,xgboost,25122,0.5960844614584203,0.6154336204953595
