evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin
coding_stress,MIMIC-III,eICU,demographic,next_aki_progression,18776,0.10827652322113336,0.4901362629790092,0.10451965695621361,0.10037271678447723,0.05571366272292139
coding_stress,MIMIC-III,eICU,demographic,next_aki_stage2plus,18776,0.44194716659565403,0.5185837904998162,0.4555077626263224,0.2735918164253235,0.1647955297814261
coding_stress,MIMIC-III,eICU,demographic,next_aki_stage3,18776,0.1572219855134214,0.5252823401590943,0.16857812140084077,0.1371479034423828,0.06826929096965825
coding_stress,MIMIC-III,eICU,demographic,hospital_death,18776,0.12457392415850022,0.5808079629730347,0.15502508222866374,0.1083967462182045,0.015487019958321368
coding_stress,MIMIC-III,eICU,demographic,icu_death,18774,0.07750079897730905,0.5081434905827162,0.07956774328653,0.07418572902679443,0.043076649070487714
coding_stress,MIMIC-III,eICU,exact_code_supported_semantic,next_aki_progression,18776,0.10827652322113336,0.5119205538877881,0.11108271273045661,0.10059086978435516,0.06380004478633582
coding_stress,MIMIC-III,eICU,exact_code_supported_semantic,next_aki_stage2plus,18776,0.44194716659565403,0.5264011544853979,0.46213950457312747,0.27663159370422363,0.17465796378612977
coding_stress,MIMIC-III,eICU,exact_code_supported_semantic,next_aki_stage3,18776,0.1572219855134214,0.554858824782636,0.1767999213810861,0.14913733303546906,0.13025353988453994
coding_stress,MIMIC-III,eICU,exact_code_supported_semantic,hospital_death,18776,0.12457392415850022,0.5893078013053221,0.15780062956239516,0.1087695062160492,0.018642160177237188
coding_stress,MIMIC-III,eICU,exact_code_supported_semantic,icu_death,18774,0.07750079897730905,0.5598941352970508,0.09115624371076794,0.07175225019454956,0.014502617759808472
coding_stress,MIMIC-III,eICU,all_description_semantic,next_aki_progression,18776,0.10827652322113336,0.4953042169666665,0.10852312885950595,0.09962837398052216,0.0504637308379863
coding_stress,MIMIC-III,eICU,all_description_semantic,next_aki_stage2plus,18776,0.44194716659565403,0.521208843227677,0.47555237155366037,0.2819472849369049,0.1867463507788342
coding_stress,MIMIC-III,eICU,all_description_semantic,next_aki_stage3,18776,0.1572219855134214,0.5816480759047352,0.2502014805385534,0.14207103848457336,0.11278790119193369
coding_stress,MIMIC-III,eICU,all_description_semantic,hospital_death,18776,0.12457392415850022,0.632548679850668,0.20957613063862723,0.11898846924304962,0.058797018196152843
coding_stress,MIMIC-III,eICU,all_description_semantic,icu_death,18774,0.07750079897730905,0.6204510311758593,0.14126780302001532,0.07918820530176163,0.043358858868430515
coding_stress,MIMIC-IV,eICU,demographic,next_aki_progression,18776,0.10827652322113336,0.5030827721969924,0.10986006653181414,0.09887702018022537,0.03870911778811514
coding_stress,MIMIC-IV,eICU,demographic,next_aki_stage2plus,18776,0.44194716659565403,0.5206590565106952,0.4583869228642331,0.26881492137908936,0.15008479161374508
coding_stress,MIMIC-IV,eICU,demographic,next_aki_stage3,18776,0.1572219855134214,0.5256707162938666,0.16748980594585083,0.14159511029720306,0.0949346325342382
coding_stress,MIMIC-IV,eICU,demographic,hospital_death,18776,0.12457392415850022,0.5867650494875389,0.1575297032670847,0.10803056508302689,0.004223764606191596
coding_stress,MIMIC-IV,eICU,demographic,icu_death,18774,0.07750079897730905,0.5233568837355393,0.08173953218650348,0.07211451977491379,0.02077022231571575
coding_stress,MIMIC-IV,eICU,exact_code_supported_semantic,next_aki_progression,18776,0.10827652322113336,0.5335041163218647,0.12014681808725403,0.09695017337799072,0.021307392185137254
coding_stress,MIMIC-IV,eICU,exact_code_supported_semantic,next_aki_stage2plus,18776,0.44194716659565403,0.47364518438499914,0.42652932173129143,0.2720949649810791,0.15919116583843662
coding_stress,MIMIC-IV,eICU,exact_code_supported_semantic,next_aki_stage3,18776,0.1572219855134214,0.5153019704726244,0.1641610475491866,0.14930029213428497,0.12978162197217594
coding_stress,MIMIC-IV,eICU,exact_code_supported_semantic,hospital_death,18776,0.12457392415850022,0.5893894739974307,0.15844322197902383,0.10876035690307617,0.0271800680710602
coding_stress,MIMIC-IV,eICU,exact_code_supported_semantic,icu_death,18774,0.07750079897730905,0.5599600502318631,0.09053456106139887,0.0717921331524849,0.0212278818338395
coding_stress,MIMIC-IV,eICU,all_description_semantic,next_aki_progression,18776,0.10827652322113336,0.5102371228313429,0.1124962736099148,0.09811302274465561,0.03117854499568013
coding_stress,MIMIC-IV,eICU,all_description_semantic,next_aki_stage2plus,18776,0.44194716659565403,0.5078288538171843,0.46167214743564555,0.28240737318992615,0.18693014223233315
coding_stress,MIMIC-IV,eICU,all_description_semantic,next_aki_stage3,18776,0.1572219855134214,0.5250586952754006,0.22267309559263398,0.14487721025943756,0.12390573102025325
coding_stress,MIMIC-IV,eICU,all_description_semantic,hospital_death,18776,0.12457392415850022,0.6611127675408167,0.23981178567329325,0.10462643951177597,0.017636272735047726
coding_stress,MIMIC-IV,eICU,all_description_semantic,icu_death,18774,0.07750079897730905,0.6621519698386592,0.1749175161745453,0.06930547207593918,0.011947844706493991
