evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin
external,MIMIC-IV,MIMIC-III,demographic,next_aki_progression,20108,0.1643624428088323,0.5213111663386238,0.1704099189092155,0.13780014216899872,0.023278448500238653
external,MIMIC-IV,MIMIC-III,demographic,next_aki_stage2plus,20108,0.27605927988860157,0.5318378580912408,0.2957894329734188,0.19948895275592804,0.011591282162036465
external,MIMIC-IV,MIMIC-III,demographic,next_aki_stage3,20108,0.040431668987467674,0.5849451148048667,0.05065441626218373,0.03880857303738594,0.009314352640912148
external,MIMIC-IV,MIMIC-III,demographic,hospital_death,20108,0.13412572110602744,0.6206052277053189,0.1929194063481614,0.11440493911504745,0.008242572873967142
external,MIMIC-IV,MIMIC-III,demographic,icu_death,20108,0.09563357867515417,0.5382723299033694,0.10134781747507106,0.08644561469554901,0.01302546410100145
external,MIMIC-IV,MIMIC-III,xgboost,next_aki_progression,20108,0.1643624428088323,0.5398006335407832,0.17805620723284618,0.24831529073698477,0.3318238345734677
external,MIMIC-IV,MIMIC-III,xgboost,next_aki_stage2plus,20108,0.27605927988860157,0.5475018305283053,0.32438932894039807,0.2556468603458083,0.23985335136379696
external,MIMIC-IV,MIMIC-III,xgboost,next_aki_stage3,20108,0.040431668987467674,0.694338022934518,0.22681828334145318,0.16329496453463582,0.35509534985247965
external,MIMIC-IV,MIMIC-III,xgboost,hospital_death,20108,0.13412572110602744,0.6482686129556349,0.24987422616154914,0.19437152737958155,0.2812686525992026
external,MIMIC-IV,MIMIC-III,xgboost,icu_death,20108,0.09563357867515417,0.6324226320716287,0.18176769913190785,0.18501292156950225,0.30994193854841606
external,MIMIC-IV,MIMIC-III,random_transformer,next_aki_progression,20108,0.1643624428088323,0.5357789739837359,0.17544067229961663,0.13727328181266785,0.005566942394194745
external,MIMIC-IV,MIMIC-III,random_transformer,next_aki_stage2plus,20108,0.27605927988860157,0.5471086043251764,0.3285119859283606,0.19993723928928375,0.05211680208490124
external,MIMIC-IV,MIMIC-III,random_transformer,next_aki_stage3,20108,0.040431668987467674,0.6836277999991713,0.2324916347331017,0.03472008556127548,0.011529118641236472
external,MIMIC-IV,MIMIC-III,random_transformer,hospital_death,20108,0.13412572110602744,0.6419324854128098,0.22769466303774266,0.11583618074655533,0.054417192887774954
external,MIMIC-IV,MIMIC-III,random_transformer,icu_death,20108,0.09563357867515417,0.6288191896111368,0.16507072961753738,0.08753175288438797,0.04858284094653429
external,MIMIC-IV,MIMIC-III,semantic_transformer,next_aki_progression,20108,0.1643624428088323,0.5383499524569806,0.1780083011106006,0.13919927179813385,0.04855339822137252
external,MIMIC-IV,MIMIC-III,semantic_transformer,next_aki_stage2plus,20108,0.27605927988860157,0.5323067099537662,0.31256573515289365,0.198343425989151,0.02987175780938177
external,MIMIC-IV,MIMIC-III,semantic_transformer,next_aki_stage3,20108,0.040431668987467674,0.6772603268919448,0.21121633468464826,0.03517841175198555,0.004957588696498472
external,MIMIC-IV,MIMIC-III,semantic_transformer,hospital_death,20108,0.13412572110602744,0.651833860629663,0.24335866377735443,0.11540700495243073,0.06206207958859492
external,MIMIC-IV,MIMIC-III,semantic_transformer,icu_death,20108,0.09563357867515417,0.6350828451614832,0.17739460635604587,0.08628134429454803,0.0477367224359245
external,MIMIC-IV,eICU,demographic,next_aki_progression,18776,0.10827652322113336,0.5030827721969924,0.10986006653181414,0.09887702018022537,0.03870911778811514
external,MIMIC-IV,eICU,demographic,next_aki_stage2plus,18776,0.44194716659565403,0.5206590565106952,0.4583869228642331,0.26881492137908936,0.15008479161374508
external,MIMIC-IV,eICU,demographic,next_aki_stage3,18776,0.1572219855134214,0.5256707162938666,0.16748980594585083,0.14159511029720306,0.0949346325342382
external,MIMIC-IV,eICU,demographic,hospital_death,18776,0.12457392415850022,0.5867650494875389,0.1575297032670847,0.10803056508302689,0.004223764606191596
external,MIMIC-IV,eICU,demographic,icu_death,18774,0.07750079897730905,0.5233568837355393,0.08173953218650348,0.07211451977491379,0.02077022231571575
external,MIMIC-IV,eICU,xgboost,next_aki_progression,18776,0.10827652322113336,0.5293519086420888,0.1161723797818228,0.2572202259024703,0.4002044168914004
external,MIMIC-IV,eICU,xgboost,next_aki_stage2plus,18776,0.44194716659565403,0.520066456081861,0.4570321956289219,0.25424655367201576,0.08865118422912538
external,MIMIC-IV,eICU,xgboost,next_aki_stage3,18776,0.1572219855134214,0.5502560045664917,0.17829168369014253,0.19032612643331626,0.24076315739343251
external,MIMIC-IV,eICU,xgboost,hospital_death,18776,0.12457392415850022,0.5882774768850023,0.156459900643533,0.1832322349902667,0.26679713967005064
external,MIMIC-IV,eICU,xgboost,icu_death,18774,0.07750079897730905,0.5586846101326056,0.09008933897422458,0.167030281441578,0.30227492979788306
external,MIMIC-IV,eICU,random_transformer,next_aki_progression,18776,0.10827652322113336,0.5292471449771361,0.12031578920414188,0.09672114998102188,0.013666019379746604
external,MIMIC-IV,eICU,random_transformer,next_aki_stage2plus,18776,0.44194716659565403,0.5225273847887327,0.4597405594182843,0.26031559705734253,0.11821741070145995
external,MIMIC-IV,eICU,random_transformer,next_aki_stage3,18776,0.1572219855134214,0.552406416379634,0.17797411503294258,0.14763839542865753,0.12436211126700557
external,MIMIC-IV,eICU,random_transformer,hospital_death,18776,0.12457392415850022,0.5893688867567288,0.1586310096602976,0.11130395531654358,0.05705029918035649
external,MIMIC-IV,eICU,random_transformer,icu_death,18774,0.07750079897730905,0.558484960501636,0.09048564967518274,0.07273222506046295,0.03784989278366279
external,MIMIC-IV,eICU,semantic_transformer,next_aki_progression,18776,0.10827652322113336,0.5102371228313429,0.1124962736099148,0.09811302274465561,0.03117854499568013
external,MIMIC-IV,eICU,semantic_transformer,next_aki_stage2plus,18776,0.44194716659565403,0.5078288538171843,0.46167214743564555,0.28240737318992615,0.18693014223233315
external,MIMIC-IV,eICU,semantic_transformer,next_aki_stage3,18776,0.1572219855134214,0.5250586952754006,0.22267309559263398,0.14487721025943756,0.12390573102025325
