evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin
concept_availability_all,MIMIC-III,eICU,demographic,next_aki_progression,18776,0.10827652322113336,0.4901362629790092,0.10451965695621361,0.10037271678447723,0.05571366272292139
concept_availability_all,MIMIC-III,eICU,demographic,next_aki_stage2plus,18776,0.44194716659565403,0.5185837904998162,0.4555077626263224,0.2735918164253235,0.1647955297814261
concept_availability_all,MIMIC-III,eICU,demographic,next_aki_stage3,18776,0.1572219855134214,0.5252823401590943,0.16857812140084077,0.1371479034423828,0.06826929096965825
concept_availability_all,MIMIC-III,eICU,demographic,hospital_death,18776,0.12457392415850022,0.5808079629730347,0.15502508222866374,0.1083967462182045,0.015487019958321368
concept_availability_all,MIMIC-III,eICU,demographic,icu_death,18774,0.07750079897730905,0.5081434905827162,0.07956774328653,0.07418572902679443,0.043076649070487714
concept_availability_all,MIMIC-III,eICU,xgboost,next_aki_progression,18776,0.10827652322113336,0.5186127956977211,0.11186236085929364,0.25369429717005354,0.3960161127664329
concept_availability_all,MIMIC-III,eICU,xgboost,next_aki_stage2plus,18776,0.44194716659565403,0.5263777492728742,0.46357753713245753,0.25003190701760625,0.06158078677752294
concept_availability_all,MIMIC-III,eICU,xgboost,next_aki_stage3,18776,0.1572219855134214,0.5507752451766177,0.17804526885427016,0.2202218353527914,0.28321037357962725
concept_availability_all,MIMIC-III,eICU,xgboost,hospital_death,18776,0.12457392415850022,0.584533499238142,0.15295658391543102,0.231508063915464,0.3441008039526752
concept_availability_all,MIMIC-III,eICU,xgboost,icu_death,18774,0.07750079897730905,0.5560851965413905,0.08963406803532983,0.23295263856883883,0.3950187799724081
concept_availability_all,MIMIC-III,eICU,random_transformer,next_aki_progression,18776,0.10827652322113336,0.5277825101615026,0.117383110489214,0.10053084790706635,0.06290091087380571
concept_availability_all,MIMIC-III,eICU,random_transformer,next_aki_stage2plus,18776,0.44194716659565403,0.5195129199303423,0.45661339607438467,0.27328070998191833,0.16344069298729771
concept_availability_all,MIMIC-III,eICU,random_transformer,next_aki_stage3,18776,0.1572219855134214,0.5536733698906124,0.18034686700406952,0.14777369797229767,0.12510976887220365
concept_availability_all,MIMIC-III,eICU,random_transformer,hospital_death,18776,0.12457392415850022,0.5872204137616613,0.15971810404755404,0.10858426988124847,0.02084601507333679
concept_availability_all,MIMIC-III,eICU,random_transformer,icu_death,18774,0.07750079897730905,0.5608047614313898,0.09316963336685272,0.07172267138957977,0.013630478848353274
concept_availability_all,MIMIC-III,eICU,semantic_transformer,next_aki_progression,18776,0.10827652322113336,0.4953042169666665,0.10852312885950595,0.09962837398052216,0.0504637308379863
concept_availability_all,MIMIC-III,eICU,semantic_transformer,next_aki_stage2plus,18776,0.44194716659565403,0.521208843227677,0.47555237155366037,0.2819472849369049,0.1867463507788342
concept_availability_all,MIMIC-III,eICU,semantic_transformer,next_aki_stage3,18776,0.1572219855134214,0.5816480759047352,0.2502014805385534,0.14207103848457336,0.11278790119193369
concept_availability_all,MIMIC-III,eICU,semantic_transformer,hospital_death,18776,0.12457392415850022,0.632548679850668,0.20957613063862723,0.11898846924304962,0.058797018196152843
concept_availability_all,MIMIC-III,eICU,semantic_transformer,icu_death,18774,0.07750079897730905,0.6204510311758593,0.14126780302001532,0.07918820530176163,0.043358858868430515
concept_availability_with_concepts,MIMIC-III,eICU,demographic,next_aki_progression,9292,0.11450710288420146,0.49965743691996145,0.11321491461397923,0.10443820059299469,0.04979761881377745
