scenario,relations,relation_fraction,node_pairs,active_nodes,largest_component_fraction,density,transitivity,global_efficiency,degree_assortativity,degree_rank_spearman_vs_all
all_relations,225,1.0,141,34,1.0,0.2513368983957219,0.3862111043319097,0.6137849079025557,-0.4079601380556165,1.0
pediatric_scope_explicit,82,0.3644444444444444,51,25,0.7352941176470589,0.17,0.2675675675675675,0.5530555555555547,-0.5253019447287612,0.7133174844159293
multi_source,183,0.8133333333333334,108,34,1.0,0.1925133689839572,0.3318700614574187,0.5775401069518721,-0.4900266764125699,0.9408831282290366
review_confidence_ge_0_90,196,0.8711111111111111,123,34,1.0,0.2192513368983957,0.3805637982195846,0.5909090909090916,-0.4075809024265087,0.9547524073546458
direction_conflict_excluded,215,0.9555555555555556,141,34,1.0,0.2513368983957219,0.3862111043319097,0.6137849079025557,-0.4079601380556165,1.0
narrow_predicate,108,0.48,77,33,0.9705882352941176,0.1458333333333333,0.2622222222222222,0.5342487373737369,-0.472349552257499,0.8209567317363139
pediatric_multi_source_confident,70,0.3111111111111111,43,23,0.6764705882352942,0.1699604743083003,0.2275862068965517,0.5606060606060612,-0.551182801887878,0.6716367303564873
