mode,mode_class,uncertainty_unit,source_database,target_database,endpoint,model,n_clusters,bootstrap_reps_requested,bootstrap_reps_valid,auroc_lo,auroc_hi,delta_semantic_minus_model_lo,delta_semantic_minus_model_hi
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,xgboost,17491,1000,1000,0.5200140731837316,0.5369224897877722,-0.019779662644917737,-0.0010846366207463876
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,17491,1000,1000,0.5180745897662725,0.5351919931722267,-0.017729989868608752,0.0010874880945579998
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,17491,1000,1000,0.5100257513039457,0.5267170469891063,,
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,demographic,17491,1000,1000,0.5315537295448616,0.5564831852597296,0.011381941311325128,0.03244976202075602
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,xgboost,17491,1000,1000,0.5425000657920259,0.5666953777527272,0.0011525203558074015,0.019924226877981514
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,random_transformer,17491,1000,1000,0.539727797897858,0.563824967998626,0.004158183648910438,0.022953273820604313
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,semantic_transformer,17491,1000,1000,0.5544016011365733,0.5778254410721712,,
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,demographic,17491,1000,1000,0.5771973687843155,0.6005664922483601,0.05643026529362907,0.08037560285315444
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,xgboost,17491,1000,1000,0.5759247154856423,0.599512644141464,0.05795045893317868,0.08208264081175785
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,random_transformer,17491,1000,1000,0.5739998101129347,0.597701306647217,0.058906207084887245,0.08346936915309551
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,semantic_transformer,17491,1000,1000,0.6455362128333573,0.6696349866131407,,
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,demographic,17489,1000,1000,0.5432072940075021,0.5716241879046309,0.08492683835057285,0.11585931596993136
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,xgboost,17489,1000,1000,0.5435650331852799,0.5714538373615539,0.08521748038340446,0.11609915301815844
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,random_transformer,17489,1000,1000,0.5402155571738293,0.5692886351069,0.08720448907870458,0.11965249479966579
label_proximal_excluded,post-hoc label-proximity sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,semantic_transformer,17489,1000,1000,0.6436721272717488,0.6727195787169982,,
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,demographic,138,1000,1000,0.49025980218593296,0.5204494970606591,-0.02173880700309671,0.03511987505180797
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,xgboost,138,1000,1000,0.5105636927961033,0.5389829933717583,-0.03678377239650306,0.01180729285364605
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,random_transformer,138,1000,1000,0.5170963221539435,0.54888837151587,-0.04265368201895554,0.0038607286385235915
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,semantic_transformer,138,1000,1000,0.48975064007747454,0.5331489108400832,,
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,demographic,138,1000,1000,0.5161185385649818,0.5388838291204338,-0.02618797953438957,0.004313402407506437
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,xgboost,138,1000,1000,0.517816050127836,0.5404753470670312,-0.0289421388439631,0.0032448591372286335
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,138,1000,1000,0.5154370894865432,0.5388307308690928,-0.026236090247715567,0.005260931411181534
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,138,1000,1000,0.5064541257264972,0.5282661751856051,,
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,demographic,138,1000,1000,0.5318851780916811,0.5573548385587415,0.007059357373043429,0.039210322752020084
label_proximal_excluded,post-hoc label-proximity sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,xgboost,138,1000,1000,0.5414318231493541,0.5691912605919703,-0.002818469660872696,0.02695383137414546
