mode,endpoint,auroc,average_precision,auroc_lo,auroc_hi,delta_semantic_minus_model_lo,delta_semantic_minus_model_hi
precise_time,next_aki_progression,0.5128725342016203,0.1122316837074854,0.4999792325171349,0.5245442853408385,-0.0295589263034937,-0.0037877238354908
precise_time,next_aki_stage2plus,0.5171580392638024,0.4601713839095825,0.5080625316982623,0.5256698642967552,-0.0257420916716165,0.0025676494203492
precise_time,next_aki_stage3,0.5330456027481155,0.185260538960003,0.5137393906766716,0.5512774109601695,-0.0468903251847735,0.0075564921125597
precise_time,hospital_death,0.6351314877021603,0.2097119078065435,0.6184114922791444,0.6492144155828853,0.0339696847196502,0.0589757442628189
precise_time,icu_death,0.6130015323932617,0.1419571729476047,0.5917276079976735,0.6319294701519199,0.0360469029049685,0.0728971487028428
medication_only,next_aki_progression,0.5285136964977823,0.1235638770677912,0.5144847205964105,0.5441578277073308,-0.0096440071394093,0.0207055019814744
medication_only,next_aki_stage2plus,0.5058268052917725,0.4508101621187543,0.4936761618207418,0.5160237695828592,-0.0362216367349719,-0.0071182227614075
medication_only,next_aki_stage3,0.5371558990014824,0.186995889322441,0.5227140782116176,0.5510392337698584,-0.0322494754156938,0.0109199856956214
medication_only,hospital_death,0.635570517437861,0.2075912673955228,0.6154642964931888,0.6536722436305903,0.0317773047247152,0.0631283948192728
medication_only,icu_death,0.6264946687675315,0.1455189688962135,0.5978251898634467,0.6515206628707034,0.0436539298443333,0.0899218067568324
label_proximal_excluded,next_aki_progression,0.5058007371002247,0.1142953396828591,0.4897506400774745,0.5331489108400832,-0.0426536820189555,0.0038607286385235
label_proximal_excluded,next_aki_stage2plus,0.5184569307975379,0.4645559512913904,0.5064541257264972,0.5282661751856051,-0.0262360902477155,0.0052609314111815
label_proximal_excluded,next_aki_stage3,0.5656432949093141,0.2205474917971366,0.5482239822849403,0.5858717513196244,2.2508836809631864e-05,0.0314038822149689
label_proximal_excluded,hospital_death,0.6578731837937553,0.2260233046297836,0.6414964289320122,0.6725247081700069,0.0560933808237792,0.0890596722683044
label_proximal_excluded,icu_death,0.6585101994531958,0.162211209406974,0.6337625654738017,0.6796019191032401,0.0853410956564053,0.1241862873161236
