mode,mode_class,uncertainty_unit,source_database,target_database,endpoint,model,n_clusters,bootstrap_reps_requested,bootstrap_reps_valid,auroc_lo,auroc_hi,delta_semantic_minus_model_lo,delta_semantic_minus_model_hi
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,17491,1000,1000,0.5170693140414905,0.5342765470934914,-0.028339449248931666,-0.011449221968852771
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,17491,1000,1000,0.4976483748162039,0.5139182573771377,,
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,demographic,17491,1000,1000,0.5315537295448616,0.5564831852597296,-0.01872039965437524,0.004787572836743121
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,xgboost,17491,1000,1000,0.5413113519863535,0.5658697437103248,-0.02740605247895651,-0.007344336421741086
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,random_transformer,17491,1000,1000,0.5359689844401146,0.5605275892653844,-0.021602125099581974,-0.0011846753118505066
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,semantic_transformer,17491,1000,1000,0.5252335221412459,0.5500162316229109,,
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,demographic,17491,1000,1000,0.5771973687843155,0.6005664922483601,0.036802416875521715,0.055839782324817074
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,xgboost,17491,1000,1000,0.5758584210570256,0.5995551778507062,0.037872589143355874,0.05709952954849544
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,random_transformer,17491,1000,1000,0.5760262941370677,0.5995129142371236,0.037922813377160663,0.05762377668892273
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,hospital_death,semantic_transformer,17491,1000,1000,0.6234436114522258,0.6471451268607279,,
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,demographic,17489,1000,1000,0.5432072940075021,0.5716241879046309,0.05473178495126733,0.08349692617160621
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,xgboost,17489,1000,1000,0.5437626261393395,0.571219550074615,0.054529794244718655,0.08368502266318685
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,random_transformer,17489,1000,1000,0.5435173034352438,0.5724054080522958,0.053847571302690675,0.08258833480364769
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,icu_death,semantic_transformer,17489,1000,1000,0.6115981506448702,0.641838129131319,,
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,demographic,138,1000,1000,0.49025980218593296,0.5204494970606591,0.0029718615448156268,0.044702845118102005
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,xgboost,138,1000,1000,0.5100088562481799,0.5407358923283622,-0.01137969181808302,0.01877798990701324
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,random_transformer,138,1000,1000,0.5104336371697437,0.5359806612669716,-0.009644007139409341,0.020705501981474476
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,semantic_transformer,138,1000,1000,0.5144847205964105,0.5441578277073308,,
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,demographic,138,1000,1000,0.5161185385649818,0.5388838291204338,-0.03763396363684183,-0.008717128973104752
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,xgboost,138,1000,1000,0.5184474926103323,0.5409542058179202,-0.04044308296398397,-0.010509846581343013
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,138,1000,1000,0.5142094170375356,0.538122382306771,-0.03622163673497192,-0.0071182227614075
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,138,1000,1000,0.49367616182074187,0.5160237695828592,,
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,demographic,138,1000,1000,0.5318851780916811,0.5573548385587415,-0.024990980875312572,0.011169557030846752
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,xgboost,138,1000,1000,0.5402365715875033,0.568676675798493,-0.036841103012360085,0.002535546122651329
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,random_transformer,138,1000,1000,0.5312429044820163,0.5653522631337213,-0.03224947541569387,0.010919985695621411
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,semantic_transformer,138,1000,1000,0.5227140782116176,0.5510392337698584,,
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,hospital_death,demographic,138,1000,1000,0.5718116938192692,0.6039146554409076,0.0305809620017262,0.06265588607002708
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,hospital_death,xgboost,138,1000,1000,0.5704189873977688,0.6036602176580957,0.03205529886955173,0.06362724599143192
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,hospital_death,random_transformer,138,1000,1000,0.5711398474797116,0.6028730041435079,0.03177730472471527,0.06312839481927283
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,hospital_death,semantic_transformer,138,1000,1000,0.6154642964931888,0.6536722436305903,,
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,icu_death,demographic,138,1000,1000,0.533049856123716,0.5765897675927388,0.04538534386444531,0.09009310714010631
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,icu_death,xgboost,138,1000,1000,0.5337970717892128,0.5775225701030906,0.04542205399641085,0.08992206166103642
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,icu_death,random_transformer,138,1000,1000,0.5369526397248306,0.5756780231857304,0.04365392984433338,0.08992180675683241
medication_only,prespecified conservative timing sensitivity,hospital,MIMIC-III + MIMIC-IV,eICU,icu_death,semantic_transformer,138,1000,1000,0.5978251898634467,0.6515206628707034,,
